appid	positive_reviews	total_reviews	last_updated
369080	9	65	2019-07-23
369070	722	1020	2019-07-23
369060	4	4	2019-07-23
369040	7	17	2019-07-23
369030	154	262	2019-07-23
369000	247	338	2019-07-23
368990	499	1480	2019-07-23
368980	46	89	2019-07-23
368970	3	5	2019-07-23
368950	1624	1743	2019-07-23
368890	73	80	2019-07-23
368880	1	5	2019-07-23
368860	219	670	2019-07-23
368830	34	36	2019-07-23
368800	90	98	2019-07-23
368780	10	23	2019-07-23
368770	7	12	2019-07-23
368760	6	12	2019-07-23
368740	98	149	2019-07-23
368730	831	991	2019-07-23
368720	49	78	2019-07-23
368710	34	52	2019-07-23
368700	8	10	2019-07-23
368690	4	9	2019-07-23
368680	46	49	2019-07-23
368670	1	2	2019-07-23
368650	515	554	2019-07-23
368640	225	288	2019-07-23
368610	290	335	2019-07-23
368600	36	37	2019-07-23
368590	271	410	2019-07-23
368570	309	327	2019-07-23
368500	6923	9222	2019-07-23
368470	17	38	2019-07-23
368450	97	170	2019-07-23
368430	395	540	2019-07-23
368390	553	579	2019-07-23
368370	3655	4049	2019-07-23
368360	6536	8015	2019-07-23
368340	5831	6167	2019-07-23
368310	4	7	2019-07-23
368290	44	69	2019-07-23
368250	21	27	2019-07-23
368230	3526	4081	2019-07-23
368220	45	70	2019-07-23
368180	74	92	2019-07-23
368160	107	111	2019-07-23
368150	13	15	2019-07-23
368140	44	54	2019-07-23
368080	65	73	2019-07-23
368070	2178	4013	2019-07-23
368050	75	98	2019-07-23
368000	71	90	2019-07-23
367990	2	17	2019-07-23
367800	1	3	2019-07-23
367780	34	37	2019-07-23
367710	36	66	2019-07-23
367700	0	2	2019-07-23
367670	1598	1751	2019-07-23
367600	318	534	2019-07-23
367580	6092	6261	2019-07-23
367570	694	759	2019-07-23
367550	25	38	2019-07-23
367520	42639	44506	2019-07-23
367500	10115	11462	2019-07-23
367450	4360	4846	2019-07-23
367430	10	11	2019-07-23
367350	13	17	2019-07-23
367300	37	39	2019-07-23
367270	1507	1837	2019-07-23
367260	14	19	2019-07-23
367240	5	12	2019-07-23
367220	0	5	2019-07-23
367140	39	42	2019-07-23
367120	1714	1997	2019-07-23
367110	74	98	2019-07-23
367080	90	110	2019-07-23
367060	5	7	2019-07-23
367050	6	6	2019-07-23
367040	1	5	2019-07-23
367030	25	39	2019-07-23
367020	128	151	2019-07-23
367010	37	73	2019-07-23
367000	194	220	2019-07-23
366990	7	7	2019-07-23
366970	192	207	2019-07-23
366960	22	108	2019-07-23
366910	556	864	2019-07-23
366890	279	897	2019-07-23
366870	345	438	2019-07-23
366860	6	11	2019-07-23
366810	30	55	2019-07-23
366800	191	228	2019-07-23
366780	22	22	2019-07-23
366760	15	22	2019-07-23
366700	1	4	2019-07-23
366690	80	101	2019-07-23
366670	13	20	2019-07-23
366640	136	190	2019-07-23
366620	9	13	2019-07-23
366610	8	16	2019-07-23
366600	1	1	2019-07-23
366590	31	32	2019-07-23
366550	18	22	2019-07-23
366530	21	41	2019-07-23
366510	60	83	2019-07-23
366440	448	868	2019-07-23
366410	4	4	2019-07-23
366350	3	3	2019-07-23
366320	1050	1275	2019-07-23
366290	62	109	2019-07-23
366280	61	76	2019-07-23
366270	36	43	2019-07-23
366260	183	206	2019-07-23
366250	1105	1212	2019-07-23
366240	80	139	2019-07-23
366230	22	27	2019-07-23
366220	964	1364	2019-07-23
366210	17	23	2019-07-23
366180	8	19	2019-07-23
366100	4	5	2019-07-23
366090	2042	2355	2019-07-23
366060	16	19	2019-07-23
366050	3	4	2019-07-23
366040	112	135	2019-07-23
366010	21	29	2019-07-23
366000	112	146	2019-07-23
365960	929	1135	2019-07-23
365930	0	0	2019-07-23
365900	207	231	2019-07-23
365890	109	157	2019-07-23
365880	51	76	2019-07-23
365870	66	75	2019-07-23
365860	36	45	2019-07-23
365850	27	36	2019-07-23
365810	372	547	2019-07-23
365800	15	35	2019-07-23
365770	249	303	2019-07-23
365760	22	26	2019-07-23
365730	6	6	2019-07-23
365680	26	38	2019-07-23
365670	7382	7656	2019-07-23
365660	260	299	2019-07-23
365620	15	40	2019-07-23
365590	39506	58405	2019-07-23
365580	37	39	2019-07-23
365560	47	72	2019-07-23
365510	17	18	2019-07-23
365500	25	28	2019-07-23
365480	29	44	2019-07-23
365450	8188	8796	2019-07-23
365440	28	41	2019-07-23
365430	7	9	2019-07-23
365420	7	22	2019-07-23
365360	5796	6648	2019-07-23
365350	59	68	2019-07-23
365340	15	25	2019-07-23
365330	28	45	2019-07-23
365320	66	96	2019-07-23
365310	8	23	2019-07-23
365300	8046	8552	2019-07-23
365280	4	7	2019-07-23
365270	37	61	2019-07-23
365260	55	68	2019-07-23
365240	7	14	2019-07-23
365210	64	73	2019-07-23
365200	4	6	2019-07-23
365190	113	144	2019-07-23
365160	1040	1252	2019-07-23
365150	5	6	2019-07-23
365140	3	7	2019-07-23
365120	53	69	2019-07-23
365110	6	12	2019-07-23
365090	8	8	2019-07-23
365080	6	9	2019-07-23
365070	518	874	2019-07-23
365060	6	8	2019-07-23
365050	171	290	2019-07-23
365020	291	441	2019-07-23
364980	10	17	2019-07-23
364970	33	48	2019-07-23
364940	130	172	2019-07-23
364930	666	708	2019-07-23
364910	70	154	2019-07-23
364900	0	1	2019-07-23
364890	22	48	2019-07-23
364880	15	26	2019-07-23
364850	1	3	2019-07-23
364840	20	23	2019-07-23
364830	9	9	2019-07-23
364820	39	69	2019-07-23
364810	47	58	2019-07-23
364800	21	22	2019-07-23
364790	8	9	2019-07-23
364770	22	26	2019-07-23
364750	6	7	2019-07-23
364740	12	14	2019-07-23
364720	10	11	2019-07-23
364710	6	49	2019-07-23
364700	5	6	2019-07-23
364690	90	261	2019-07-23
364670	2	5	2019-07-23
364660	0	3	2019-07-23
364640	149	184	2019-07-23
364630	110	160	2019-07-23
364510	63	69	2019-07-23
364480	5	12	2019-07-23
364470	5824	7992	2019-07-23
364450	122	195	2019-07-23
364420	1992	2504	2019-07-23
364390	458	492	2019-07-23
364380	28	60	2019-07-23
364370	9	17	2019-07-23
364360	18240	23986	2019-07-23
364350	11	18	2019-07-23
364300	193	315	2019-07-23
364270	259	320	2019-07-23
364260	5	6	2019-07-23
364250	24	27	2019-07-23
364240	20	33	2019-07-23
364230	178	190	2019-07-23
364200	30	38	2019-07-23
364190	3	4	2019-07-23
364130	5	6	2019-07-23
364100	4	5	2019-07-23
364060	7	9	2019-07-23
364050	242	412	2019-07-23
364000	3	6	2019-07-23
363980	226	266	2019-07-23
363970	44408	49308	2019-07-23
363960	10	28	2019-07-23
363950	89	114	2019-07-23
363940	6	24	2019-07-23
363930	2431	2871	2019-07-23
363920	2	2	2019-07-23
363900	4	9	2019-07-23
363890	1952	2205	2019-07-23
363790	334	417	2019-07-23
363680	2639	3888	2019-07-23
363670	2	4	2019-07-23
363660	3	24	2019-07-23
363650	26	51	2019-07-23
363620	49	72	2019-07-23
363610	78	255	2019-07-23
363600	560	768	2019-07-23
363580	6	6	2019-07-23
363550	29	31	2019-07-23
363530	71	254	2019-07-23
363520	110	175	2019-07-23
363510	16	49	2019-07-23
363500	17	20	2019-07-23
363490	171	399	2019-07-23
363460	280	318	2019-07-23
363440	1371	1671	2019-07-23
363430	22	61	2019-07-23
363420	229	250	2019-07-23
363410	92	114	2019-07-23
363360	536	741	2019-07-23
363330	216	248	2019-07-23
363270	4	8	2019-07-23
363240	25	32	2019-07-23
363220	7	7	2019-07-23
363200	3	3	2019-07-23
363180	9	13	2019-07-23
363150	1729	3763	2019-07-23
363130	640	953	2019-07-23
363110	31	46	2019-07-23
363090	46	57	2019-07-23
363070	6	7	2019-07-23
363060	7	7	2019-07-23
363050	19	19	2019-07-23
363020	15	38	2019-07-23
362960	4776	5547	2019-07-23
362940	12	13	2019-07-23
362930	3544	3947	2019-07-23
362920	17	43	2019-07-23
362890	15125	16064	2019-07-23
362870	216	243	2019-07-23
362860	63	78	2019-07-23
362830	15	32	2019-07-23
362810	182	218	2019-07-23
362780	37	58	2019-07-23
362740	4	5	2019-07-23
362680	4650	4827	2019-07-23
362660	17	21	2019-07-23
362620	2632	2859	2019-07-23
362610	4	7	2019-07-23
362490	2834	3637	2019-07-23
362410	93	133	2019-07-23
362400	57	117	2019-07-23
362380	19	21	2019-07-23
362350	141	247	2019-07-23
362310	23	31	2019-07-23
362300	122	200	2019-07-23
362290	17	25	2019-07-23
362160	10	12	2019-07-23
362150	8	10	2019-07-23
362140	8	18	2019-07-23
362130	25	37	2019-07-23
362090	137	160	2019-07-23
362070	3	3	2019-07-23
362030	3	3	2019-07-23
362020	10	12	2019-07-23
361990	831	876	2019-07-23
361970	10	19	2019-07-23
361950	24	33	2019-07-23
361930	29	36	2019-07-23
361890	26	47	2019-07-23
361850	83	93	2019-07-23
361830	80	95	2019-07-23
361800	3365	5150	2019-07-23
361690	95	124	2019-07-23
361680	2	2	2019-07-23
361670	147	190	2019-07-23
361630	1214	1447	2019-07-23
361620	8	14	2019-07-23
361600	12	17	2019-07-23
361560	3	10	2019-07-23
361550	878	1243	2019-07-23
361430	20	32	2019-07-23
361420	28915	33747	2019-07-23
361380	84	111	2019-07-23
361360	77	83	2019-07-23
361350	34	42	2019-07-23
361330	8	29	2019-07-23
361320	61	82	2019-07-23
361300	2104	2430	2019-07-23
361280	2596	2906	2019-07-23
361200	11	41	2019-07-23
361190	156	254	2019-07-23
361160	4	4	2019-07-23
361130	20	38	2019-07-23
361110	3	5	2019-07-23
361040	236	255	2019-07-23
361020	9	11	2019-07-23
360990	2	3	2019-07-23
360970	35	46	2019-07-23
360940	4766	5943	2019-07-23
360890	56	141	2019-07-23
360880	8	21	2019-07-23
360870	1103	1331	2019-07-23
360850	29	34	2019-07-23
360840	48	55	2019-07-23
360830	1304	1652	2019-07-23
360750	6	10	2019-07-23
360740	4394	4536	2019-07-23
360730	468	659	2019-07-23
360720	2	5	2019-07-23
360650	596	685	2019-07-23
360640	1442	1592	2019-07-23
360620	742	853	2019-07-23
360600	10	14	2019-07-23
360590	3	22	2019-07-23
360580	4	10	2019-07-23
360550	115	135	2019-07-23
360520	15	17	2019-07-23
360510	135	343	2019-07-23
360450	107	133	2019-07-23
360430	7480	15079	2019-07-23
360390	33	62	2019-07-23
360380	486	740	2019-07-23
360170	4893	6933	2019-07-23
360150	580	1049	2019-07-23
360040	6	9	2019-07-23
360030	12	17	2019-07-23
360010	16	18	2019-07-23
359960	74	82	2019-07-23
359940	110	166	2019-07-23
359920	122	160	2019-07-23
359900	384	662	2019-07-23
359870	5769	6412	2019-07-23
359840	203	223	2019-07-23
359810	113	185	2019-07-23
359800	1119	1903	2019-07-23
359670	7	12	2019-07-23
359650	63	69	2019-07-23
359630	26	37	2019-07-23
359620	26	35	2019-07-23
359610	255	392	2019-07-23
359600	267	436	2019-07-23
359580	146	225	2019-07-23
359560	90	116	2019-07-23
359550	243709	292397	2019-07-23
359450	7	14	2019-07-23
359440	71	102	2019-07-23
359420	21	22	2019-07-23
359400	239	256	2019-07-23
359390	1571	1685	2019-07-23
359370	24	63	2019-07-23
359350	275	339	2019-07-23
359320	20769	29866	2019-07-23
359310	1387	1562	2019-07-23
359300	2	5	2019-07-23
359280	18	27	2019-07-23
359260	2	5	2019-07-23
359250	11	17	2019-07-23
359230	568	819	2019-07-23
359220	168	255	2019-07-23
359190	14	16	2019-07-23
359160	4	32	2019-07-23
359140	132	143	2019-07-23
359090	2	2	2019-07-23
359070	5	13	2019-07-23
359060	5	26	2019-07-23
359050	6312	6612	2019-07-23
359040	179	200	2019-07-23
358960	94	103	2019-07-23
358840	6	11	2019-07-23
358830	125	139	2019-07-23
358810	49	63	2019-07-23
358770	123	137	2019-07-23
358760	10	13	2019-07-23
358750	433	501	2019-07-23
358700	3	14	2019-07-23
358650	70	77	2019-07-23
358610	1	5	2019-07-23
358460	133	191	2019-07-23
358440	3	4	2019-07-23
358420	3	11	2019-07-23
358410	25	29	2019-07-23
358400	5	6	2019-07-23
358390	58	67	2019-07-23
358380	43	46	2019-07-23
358370	27	29	2019-07-23
358360	56	60	2019-07-23
358350	24	26	2019-07-23
358340	15	17	2019-07-23
358330	4	7	2019-07-23
358320	8	8	2019-07-23
358310	7	8	2019-07-23
358300	7	10	2019-07-23
358290	42	47	2019-07-23
358280	12	15	2019-07-23
358270	72	75	2019-07-23
358260	34	36	2019-07-23
358250	36	37	2019-07-23
358240	4	4	2019-07-23
358230	9	11	2019-07-23
358220	7	7	2019-07-23
358210	18	19	2019-07-23
358200	11	12	2019-07-23
358190	24	24	2019-07-23
358180	21	22	2019-07-23
358170	7	10	2019-07-23
358130	1572	1757	2019-07-23
358090	1178	1458	2019-07-23
358080	3	6	2019-07-23
358070	94	103	2019-07-23
358030	23	25	2019-07-23
358000	15	26	2019-07-23
357940	51	70	2019-07-23
357930	5	8	2019-07-23
357920	11	33	2019-07-23
357910	7	16	2019-07-23
357900	181	360	2019-07-23
357890	42	47	2019-07-23
357840	23	36	2019-07-23
357830	28	42	2019-07-23
357780	413	500	2019-07-23
357770	221	1095	2019-07-23
357750	19	21	2019-07-23
357730	8	15	2019-07-23
357720	279	301	2019-07-23
357700	9	11	2019-07-23
357670	125	179	2019-07-23
357650	86	128	2019-07-23
357600	191	199	2019-07-23
357500	103	222	2019-07-23
357490	12	13	2019-07-23
357480	20	26	2019-07-23
357370	57	88	2019-07-23
357340	224	253	2019-07-23
357330	547	587	2019-07-23
357320	22	40	2019-07-23
357310	1120	1446	2019-07-23
357300	402	415	2019-07-23
357290	254	566	2019-07-23
357280	54	81	2019-07-23
357200	2	7	2019-07-23
357190	1441	1645	2019-07-23
357120	86	109	2019-07-23
357070	1686	1881	2019-07-23
357030	5	11	2019-07-23
357010	14	23	2019-07-23
356940	24	46	2019-07-23
356910	73	106	2019-07-23
356890	97	135	2019-07-23
356880	104	163	2019-07-23
356800	9	19	2019-07-23
