appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1112010	0.9886244547329497	7	129	Afloat	Aug 2019	0	0	0.0	1
1102030	0.9870391898496467	4	87	KLAC	Jun 25, 2019	0	0	0.0	1
1118440	0.9608752850892246	9	159	Poisoner's Teacup	Jul 25, 2019	0	0	0.0	1
1116470	0.9592579052918437	4	84	Real Girl VR	Jul 26, 2019	0	0	0.0	1
1104890	0.9586064750708065	9	124	From Head to Toe	July 19th, 2019	18	19	0.9473684210526315	1
1122980	0.9578003228945039	5	105	Hentai Shojo	Jul 27, 2019	0	0	0.0	1
1119100	0.9578003228945039	5	105	Hentai Vampire	Jul 26, 2019	0	0	0.0	1
1114360	0.9578003228945039	5	105	Hentai Inumimi	Jul 27, 2019	0	0	0.0	1
1117480	0.9461144405641283	15	180	Dead Hand	Jul 26, 2019	0	0	0.0	1
1105600	0.942811077236419	8	153	Welcome To... Chichester 2 - Part II : No Regrets For The Future	Jul 3, 2019	0	0	0.0	1
1111810	0.9419250685498004	5	110	Sex Simulator		4	9	0.4444444444444444	1
1120770	0.9412733551882961	12	140	Gods of Havoc: Fall to Earth	Aug 22, 2019	0	0	0.0	1
1099960	0.936513678537419	8	109	Mini Tone Puzzle	Jul 2019	0	0	0.0	1
1116500	0.9271796869220724	6	120	HVAC Simulator	Jul 31, 2019	0	0	0.0	1
1104640	0.9249564110634712	8	190	New Frontier	Jul 2019	0	0	0.0	1
1109340	0.9249321614690794	4	87	Tennis. Amazing tournament	Jul 16, 2019	0	0	0.0	1
1113770	0.9228350485424963	6	86	Lunch A Palooza	Coming soon to Early Access	0	0	0.0	1
1117340	0.9170674224667594	9	110	Gods of Havoc: Into the Void	Aug 8, 2019	0	0	0.0	1
1103100	0.897272301950756	14	202	1000 days to escape	Jul 25, 2019	0	0	0.0	1
1108240	0.8834429325059923	17	308	Code/The Werewolf Party	Jul 29, 2019	0	0	0.0	1
1099720	0.882750444151167	8	153	<U+0421><U+041B><U+0410><U+0412><U+0410> <U+0423><U+041A><U+0420><U+0410><U+0407><U+041D><U+0406>	Jun 21, 2019	133	148	0.8986486486486487	1
1104670	0.8668284107417871	19	420	BAFF 2	Jun 27, 2019	0	0	0.0	1
1101130	0.8529976874885914	14	230	My Typing Skill	Jul 12, 2019	8	9	0.8888888888888888	1
1115620	0.848751733513918	16	247	Super Pig	Jul 19, 2019	3	3	1.0	1
1118590	0.8432380791130728	4	84	Orionide: Prologue	Jul 29, 2019	0	0	0.0	1
1102990	0.8242649794220278	10	174	Otaku Puzzle	Jul 19, 2019	61	67	0.9104477611940298	1
1101420	0.8144209180634083	15	287	Dragon Call	Jul 10, 2019	13	14	0.9285714285714286	1
1105770	0.813414173908859	5	105	THC	Jul 1, 2019	2	3	0.6666666666666666	1
1104690	0.8078305947388525	5	121	Realm Guardian	Jul 22, 2019	2	3	0.6666666666666666	1
1117900	0.7794382475474769	4	84	Fantasy Maid	Jul 25, 2019	0	0	0.0	1
1117630	0.7794382475474769	4	84	I got a cat maid	Aug 1, 2019	0	0	0.0	1
1103810	0.7528523692223147	4	84	My Happy Girls	Jul 12, 2019	1	3	0.3333333333333333	1
1100970	0.7483965166410389	8	191	Dancing Girl	Jun 28, 2019	630	756	0.8333333333333334	1
1116750	0.747228620992852	6	126	In Blood	Coming Soon!	0	0	0.0	1
1107650	0.7400471330981139	5	90	Loca-Love My Commuting Crush	Aug 2019	0	0	0.0	1
1111030	0.7175077124610652	4	92	Hentai Bad Girls	Jul 11, 2019	3	6	0.5	1
1113300	0.7131178398671817	11	251	To Battle!: Hell's Crusade	Jul 2019	0	0	0.0	1
1104330	0.6940391458706466	20	362	Founders' Fortune	Jul 19, 2019	72	75	0.96	1
1100200	0.6242243002339931	17	246	Chibi Volleyball	Jul 19, 2019	5	5	1.0	1
1099530	0.5963349191327	10	165	Hentai exotica	Jul 12, 2019	9	11	0.8181818181818182	1
1109360	0.3933375522235085	5	96	Hentai Mosaique Fix-IT Shoppe	Jul 25, 2019	0	0	0.0	1
1102420	0.2911138474590216	5	99	Palette Wizard	Jul 10, 2019	0	2	0.0	1
1119740	5.091076046222992	1	20	The Tower 2	Summer 2019	0	0	0.0	0
1110600	5.091076046222992	1	20	GrayScale	Aug 1, 2019	0	0	0.0	0
1109420	5.091076046222992	1	22	The Luminist	Jul 26, 2019	0	0	0.0	0
1105220	4.0372156458455	2	41	Infinity Attackers	Jul 2019	0	0	0.0	0
1109980	4.010869135836064	2	40	SARE  Action Game	Jul 28, 2019	0	0	0.0	0
1104870	3.985748044896832	2	43	TKKG - Die Feuerprobe	Jul 17, 2019	0	0	0.0	0
1104460	3.9423695149463445	2	30	Gourmet Warriors	Jul 3, 2019	1	1	1.0	0
1113500	3.911357997670409	2	43	Angry Girl	Jul 14, 2019	0	0	0.0	0
1121120	3.8832694727048715	2	40	Smooth Mover	Aug 5, 2019	0	0	0.0	0
1118350	3.8832694727048715	2	40	Meegah Mem 2	August	0	0	0.0	0
1116710	3.8832694727048715	2	42	Poly Soldiers	Jul 23, 2019	0	0	0.0	0
1110290	3.8832694727048715	2	42	Survival or die	Jul 5, 2019	0	0	0.0	0
1109900	3.8832694727048715	2	42	OldWar 2	Jul 18, 2019	2	2	1.0	0
1105570	3.8832694727048715	2	40	Final Crash Demo	Coming Soon	0	0	0.0	0
1105490	3.8832694727048715	2	42	Over Sky	Jul 12, 2019	0	0	0.0	0
1105390	3.8832694727048715	2	42	Sailor Jump	Jul 5, 2019	0	0	0.0	0
1104910	3.8832694727048715	2	42	Midnight Grub Session	Jul 11, 2019	0	0	0.0	0
1104850	3.8832694727048715	2	42	Mad Rabbit	Jul 3, 2019	0	0	0.0	0
1103630	3.8832694727048715	2	44	Event Horizon - Frontier	Jul 3, 2019	0	4	0.0	0
1102890	3.8832694727048715	2	42	Square Norm	Jul 8, 2019	0	0	0.0	0
1100560	3.8832694727048715	2	40	Drones	November 2019	0	0	0.0	0
1100290	3.8832694727048715	2	40	Super Space Club		0	0	0.0	0
1115570	3.600026006489052	3	63	Forest Mage	Jul 19, 2019	0	1	0.0	0
1109700	3.600026006489052	3	63	Last warrior	Jul 11, 2019	0	0	0.0	0
1114700	3.576497647317431	3	59	Fight For Freedom	Jul 21, 2019	0	0	0.0	0
1119020	3.5759768122997952	3	62	Amazing repair	Jul 22, 2019	0	0	0.0	0
1103930	3.5759768122997952	3	62	Shrine of the God-Ape	Jul 16, 2019	13	14	0.9285714285714286	0
1101630	3.5759768122997952	3	62	A maze in Citadel	Jun 30, 2019	0	0	0.0	0
1118940	3.565733723619626	3	60	Robot terminator	Aug 5, 2019	0	0	0.0	0
1112760	3.565733723619626	3	60	Farrealm: The Prince of Winds	Jul 25, 2019	0	0	0.0	0
1104040	3.565733723619626	3	60	Hash Line	Jul 2019	0	0	0.0	0
1102780	3.565733723619626	3	63	Desert Of The Dead	soon	0	0	0.0	0
1101770	3.565733723619626	3	63	Ancient knowledge	August 2019	0	0	0.0	0
1104490	3.543279357657227	3	47	Water Margin - The Tale of Clouds and Wind	Jul 3, 2019	0	0	0.0	0
1100170	3.4870174856941705	2	44	<U+30C0><U+30D6><U+30EB><U+30B9><U+30DD><U+30A4><U+30E9><U+30FC> <U+301C> <U+6771><U+65B9><U+6587><U+82B1><U+5E16>	Jul 30, 2019	0	0	0.0	0
1121290	3.3546761708198445	2	32	Just Another Memory	Aug 7, 2019	0	0	0.0	0
1107210	3.3180318679700704	3	53	Jumping Over It With Kang KiYun	Jul 17, 2019	1	2	0.5	0
1103340	3.2338795879018107	3	61	YUT YUT	Jul 4, 2019	1	1	1.0	0
1118800	3.1459291898974513	3	60	Chasing Nebula	Jul 25, 2019	0	0	0.0	0
1100180	3.1451722089776295	3	48	<U+5996><U+7CBE><U+5927><U+6226><U+4E89> <U+301C> <U+6771><U+65B9><U+4E09><U+6708><U+7CBE>	Jul 30, 2019	0	0	0.0	0
1108130	3.092112448785372	4	80	The Last AntLion	Jul 2019	0	0	0.0	0
1116660	3.065246558949723	4	80	Neon Tide	Aug 2019	0	0	0.0	0
1111930	3.065246558949723	4	80	Underspace	December 2019	0	0	0.0	0
1107130	3.043077075037112	4	73	The Way of Cinnamon	Jul 15, 2019	6	8	0.75	0
1104620	3.023994896138461	3	45	The Lost	Aug 1, 2019	0	0	0.0	0
1118580	3.018635051246621	3	61	Wintercearig	Aug 2019	0	0	0.0	0
1113730	3.018635051246621	3	61	Cubico	Aug 13, 2019	0	0	0.0	0
1108090	2.960104859819829	3	63	Climb With Wheelbarrow	Jul 26, 2019	0	0	0.0	0
1106850	2.950100263149473	6	80	Totally Reliable Delivery Service Beta	Jun 24, 2019	1422	1547	0.9191984486102133	0
1114000	2.930662225449135	1	20	King of Dragon Balls	Aug 1, 2019	5	5	1.0	0
1113870	2.930662225449135	1	20	Time Travelling Blues	TBA	0	0	0.0	0
1106030	2.930662225449135	1	21	ROAD HOMEWARD 3 underwater world	Jul 29, 2019	0	0	0.0	0
1100840	2.930662225449135	1	20	Everyone Goes Home	Aug 5, 2019	0	0	0.0	0
1102510	2.80602999634425	2	43	Come Back: Chapter 1	Jul 8, 2019	2	2	1.0	0
1104590	2.803391589422312	3	62	Bacillus	Jun 28, 2019	4	4	1.0	0
1119800	2.803062562317943	2	40	Brume	2019	0	0	0.0	0
1119680	2.803062562317943	2	40	Jade's Ascension	When Emperor retires	0	0	0.0	0
1108620	2.803062562317943	2	42	Gangsta Woman	Jul 24, 2019	0	0	0.0	0
1107230	2.803062562317943	2	42	The 13th Doll: A Fan Game of The 7th Guest	10/01/2019	0	0	0.0	0
1103560	2.803062562317943	2	40	Airglow	Jun 2020	0	0	0.0	0
1103120	2.803062562317943	2	40	Dune Sea	Fall 2019	0	0	0.0	0
1107100	2.800095128291636	2	43	Second Final	Jul 25, 2019	0	0	0.0	0
1111130	2.7999503754123043	2	41	Song of a Spirit	Jul 13, 2019	0	0	0.0	0
1104230	2.7999503754123043	2	41	The Last Escape of Yeti	Jun 28, 2019	5	6	0.8333333333333334	0
1115670	2.7973979088703174	2	43	C64 & AMIGA Classix Remakes Sixpack 3	Jul 21, 2019	0	0	0.0	0
1102750	2.771024089483194	4	83	Zorg The Typing Warrior	Jul 10, 2019	3	6	0.5	0
1110870	2.757387983817897	3	64	Alien Shooter in Space Cradle - Virtual Reality	Jul 12, 2019	0	0	0.0	0
1110200	2.7427865246476344	2	42	Spaceman Defender	Jul 19, 2019	1	2	0.5	0
